39.8,6.98,4.5,2.76,1.47,0.73,0.2,50
40,7.09,4.59,2.7,1.52,0.79,0.26,51
40.2,7.13,4.59,2.74,1.47,0.79,0.24,51
40.4,7.2,4.58,2.77,1.49,0.84,0.18,52
40.6,7.25,4.6,2.84,1.57,0.9,0.24,52
40.8,7.35,4.73,2.83,1.57,0.89,0.32,53
41,7.34,4.7,2.84,1.56,0.9,0.28,53
41.2,7.53,4.79,2.92,1.65,0.84,0.32,54
41.4,7.62,4.87,2.97,1.59,0.93,0.27,54
41.6,7.59,4.91,2.97,1.7,0.93,0.3,55
41.8,7.68,4.91,2.99,1.63,0.93,0.28,55
42,7.74,5.01,2.99,1.73,0.98,0.3,56
42.2,7.88,5.05,3.03,1.67,0.89,0.32,56
42.4,7.95,5.13,3.11,1.77,0.94,0.34,57
42.6,7.96,5.13,3.12,1.8,0.98,0.37,57
42.8,8.04,5.22,3.09,1.75,0.97,0.4,58
43,8.15,5.24,3.21,1.79,1.03,0.37,58
43.2,8.25,5.29,3.26,1.81,1.02,0.34,59
43.4,8.31,5.34,3.26,1.8,1.02,0.34,59
43.6,8.38,5.38,3.3,1.88,1.07,0.37,60
43.8,8.46,5.48,3.3,1.81,1,0.37,60
44,8.52,5.52,3.38,1.89,1.03,0.41,61
44.2,8.63,5.54,3.38,1.91,1.09,0.4,61
44.4,8.66,5.6,3.41,1.94,1.08,0.34,62
44.6,8.78,5.7,3.48,1.98,1.1,0.41,62
44.8,8.88,5.7,3.48,1.98,1.1,0.41,63
45,8.95,5.78,3.55,2,1.14,0.41,63
45.2,9.09,5.83,3.53,2,1.2,0.41,64
45.4,9.07,5.91,3.66,2.02,1.2,0.42,65
45.6,9.13,5.91,3.65,2.08,1.16,0.45,65
45.8,9.34,6.01,3.65,2.12,1.26,0.42,66
46,9.38,6.05,3.69,2.09,1.26,0.42,66
46.2,9.41,6.1,3.66,2.19,1.3,0.42,67
46.4,9.6,6.1,3.79,2.16,1.26,0.52,67
46.6,9.6,6.28,3.84,2.2,1.24,0.56,68
46.8,9.7,6.28,3.86,2.19,1.3,0.51,68
47,9.79,6.37,3.89,2.23,1.32,0.55,69
47.2,9.88,6.38,3.95,2.25,1.36,0.54,69
47.4,9.96,6.45,4,2.28,1.36,0.55,70
47.6,10.04,6.51,4,2.29,1.38,0.56,70
47.8,10.13,6.6,4.04,2.3,1.4,0.54,71
48,10.27,6.64,4.09,2.37,1.38,0.6,72
48.2,10.35,6.73,4.16,2.45,1.38,0.59,72
48.4,10.41,6.74,4.2,2.48,1.46,0.56,73
48.6,10.55,6.77,4.28,2.52,1.47,0.59,73
48.8,10.59,6.88,4.22,2.48,1.45,0.56,74
49,10.62,6.98,4.37,2.55,1.51,0.61,74
49.2,10.73,7.02,4.39,2.58,1.53,0.66,75
49.4,10.89,7.08,4.37,2.6,1.49,0.63,75
49.6,10.91,7.14,4.43,2.58,1.56,0.61,76
49.8,11.02,7.22,4.44,2.64,1.51,0.65,76
50,11.1,7.29,4.49,2.7,1.59,0.66,77
50.2,11.2,7.29,4.55,2.68,1.63,0.73,78
50.4,11.35,7.39,4.56,2.7,1.61,0.73,78
50.6,11.38,7.41,4.66,2.74,1.59,0.7,79
50.8,11.48,7.53,4.66,2.77,1.66,0.7,79
51,11.52,7.6,4.77,2.82,1.66,0.73,80
51.2,11.68,7.6,4.8,2.8,1.66,0.75,80
51.4,11.8,7.74,4.83,2.84,1.73,0.73,81
51.6,11.91,7.77,4.88,2.88,1.79,0.73,82
51.8,11.98,7.84,4.95,2.92,1.79,0.77,82
52,12.07,7.95,4.95,2.97,1.8,0.79,83
52.2,12.18,7.98,4.99,3.03,1.81,0.81,83
52.4,12.25,8.08,5.02,3.02,1.86,0.79,84
52.6,12.35,8.16,5.1,3.05,1.85,0.8,84
52.8,12.46,8.19,5.13,3.07,1.88,0.81,85
53,12.56,8.25,5.18,3.11,1.86,0.84,86
53.2,12.63,8.3,5.16,3.11,1.94,0.8,86
53.4,12.76,8.38,5.28,3.11,1.92,0.9,87
53.6,12.82,8.45,5.27,3.17,1.94,0.89,87
53.8,12.89,8.48,5.35,3.21,2,0.87,88
54,12.99,8.63,5.38,3.3,2.02,0.89,89
54.2,13.2,8.71,5.52,3.31,2,0.93,89
54.4,13.17,8.72,5.47,3.26,2.05,0.97,90
54.6,13.34,8.8,5.53,3.34,2.06,0.94,90
54.8,13.45,8.92,5.55,3.42,2.12,0.89,91
55,13.58,8.97,5.63,3.46,2.14,0.98,92
55.2,13.7,9.05,5.74,3.45,2.06,0.98,92
55.4,13.79,9.05,5.76,3.42,2.15,1.03,93
55.6,13.9,9.27,5.73,3.52,2.16,1,93
55.8,13.98,9.28,5.77,3.53,2.22,1.02,94
56,14.09,9.33,5.89,3.53,2.2,1.03,94
56.2,14.2,9.39,5.95,3.66,2.23,1.09,95
56.4,14.33,9.52,5.97,3.63,2.29,1.09,96
56.6,14.37,9.6,6.02,3.65,2.25,1.08,96
56.8,14.52,9.68,6.09,3.75,2.34,1.02,97
57,14.65,9.66,6.16,3.79,2.35,1.07,98
57.2,14.76,9.81,6.28,3.73,2.33,1.12,98
57.4,14.86,9.86,6.24,3.82,2.41,1.12,99
57.6,15.01,9.96,6.32,3.89,2.47,1.12,99
57.8,15.06,10.02,6.41,3.9,2.45,1.16,100
58,15.25,10.06,6.45,3.95,2.47,1.14,101
58.2,15.27,10.1,6.45,3.95,2.54,1.18,101
58.4,15.38,10.27,6.52,4.03,2.54,1.2,102
58.6,15.52,10.35,6.55,4.03,2.54,1.23,102
58.8,15.62,10.45,6.64,4.09,2.54,1.24,103
59,15.77,10.49,6.6,4.16,2.64,1.24,104
59.2,15.88,10.49,6.73,4.16,2.62,1.22,104
59.4,15.91,10.66,6.74,4.16,2.62,1.28,105
59.6,16.09,10.72,6.84,4.16,2.72,1.32,105
59.8,16.18,10.83,6.88,4.24,2.66,1.32,106
60,16.34,10.89,6.91,4.31,2.77,1.3,107
60.2,16.4,10.91,6.99,4.37,2.74,1.33,107
60.4,16.59,11,6.99,4.38,2.76,1.36,108
60.6,16.61,11.1,7.13,4.41,2.83,1.37,109
60.8,16.68,11.19,7.2,4.45,2.83,1.38,109
61,16.81,11.27,7.23,4.5,2.84,1.45,110
61.2,16.92,11.35,7.29,4.52,2.88,1.37,110
61.4,17.16,11.41,7.27,4.56,2.86,1.47,111
